drug1,drug2,target,new_target,source_file
DB00981,DB04391,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB12329,DB00703,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB01212,DB08472,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB00665,DB09310,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB06249,DB00588,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB00067,DB08329,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB01082,DB00030,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB01764,DB00440,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB02378,DB01218,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB11640,DB06987,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB09282,DB06822,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB07266,DB15940,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB01283,DB08902,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB00126,DB12095,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB11679,DB00657,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB08894,DB01162,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB09517,DB00868,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB00615,DB06204,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB00360,DB13179,0,1,ds_frenchDB-ddis_res.pkl
DB00176,DB04173,0,1,ds_frenchDB-ddis_res.pkl
DB03034,DB08960,0,1,ds_frenchDB-ddis_res.pkl
DB01214,DB02032,0,1,ds_frenchDB-ddis_res.pkl
DB02097,DB00994,0,1,ds_frenchDB-ddis_res.pkl
DB14039,DB08601,0,1,ds_frenchDB-ddis_res.pkl
DB13437,DB11761,0,1,ds_frenchDB-ddis_res.pkl
DB09481,DB03100,0,1,ds_frenchDB-ddis_res.pkl
DB13643,DB11967,0,1,ds_frenchDB-ddis_res.pkl
DB00169,DB08834,0,1,ds_frenchDB-ddis_res.pkl
DB15233,DB01595,0,1,ds_frenchDB-ddis_res.pkl
DB02079,DB08819,0,1,ds_frenchDB-ddis_res.pkl
DB08811,DB00615,0,1,ds_frenchDB-ddis_res.pkl
DB00776,DB09318,0,1,ds_frenchDB-ddis_res.pkl
DB11945,DB01629,0,1,ds_frenchDB-ddis_res.pkl
DB01196,DB12965,0,1,ds_frenchDB-ddis_res.pkl
DB01288,DB09257,0,1,ds_frenchDB-ddis_res.pkl
DB13951,DB04137,0,1,ds_frenchDB-ddis_res.pkl
DB06999,DB04655,0,1,ds_frenchDB-ddis_res.pkl
DB06707,DB14527,0,1,ds_frenchDB-ddis_res.pkl
DB01113,DB01319,0,1,ds_frenchDB-ddis_res.pkl
DB01428,DB05467,0,1,ds_frenchDB-ddis_res.pkl
DB14499,DB01940,0,1,ds_frenchDB-ddis_res.pkl
DB01676,DB00413,0,1,ds_frenchDB-ddis_res.pkl
DB13884,DB09151,0,1,ds_frenchDB-ddis_res.pkl
DB06714,DB00240,0,1,ds_frenchDB-ddis_res.pkl
DB14109,DB01125,0,1,ds_frenchDB-ddis_res.pkl
DB06720,DB00698,0,1,ds_frenchDB-ddis_res.pkl
DB03546,DB15565,0,1,ds_frenchDB-ddis_res.pkl
DB09329,DB07450,0,1,ds_frenchDB-ddis_res.pkl
DB06718,DB00814,0,1,ds_frenchDB-ddis_res.pkl
DB01026,DB03975,0,1,ds_frenchDB-ddis_res.pkl
DB16694,DB01341,0,1,ds_frenchDB-ddis_res.pkl
DB01144,DB01946,0,1,ds_frenchDB-ddis_res.pkl
DB12023,DB01072,0,1,ds_frenchDB-ddis_res.pkl
DB17083,DB00796,0,1,ds_frenchDB-ddis_res.pkl
DB02329,DB04356,0,1,ds_frenchDB-ddis_res.pkl
DB01253,DB04838,0,1,ds_frenchDB-ddis_res.pkl
DB00107,DB02315,0,1,ds_frenchDB-ddis_res.pkl
DB09343,DB01212,0,1,ds_frenchDB-ddis_res.pkl
DB11751,DB01346,0,1,ds_frenchDB-ddis_res.pkl
DB02446,DB01415,0,1,ds_frenchDB-ddis_res.pkl
DB11712,DB09319,0,1,ds_frenchDB-ddis_res.pkl
DB00175,DB09274,0,1,ds_frenchDB-ddis_res.pkl
DB11693,DB00703,0,1,ds_frenchDB-ddis_res.pkl
DB13873,DB04000,0,1,ds_frenchDB-ddis_res.pkl
DB09338,DB00922,0,1,ds_frenchDB-ddis_res.pkl
DB01098,DB00082,0,1,ds_frenchDB-ddis_res.pkl
DB00314,DB03880,0,1,ds_frenchDB-ddis_res.pkl
DB06726,DB00073,0,1,ds_frenchDB-ddis_res.pkl
DB08310,DB00270,0,1,ds_frenchDB-ddis_res.pkl
DB08647,DB08820,0,1,ds_frenchDB-ddis_res.pkl
DB01024,DB04339,0,1,ds_frenchDB-ddis_res.pkl
DB03114,DB01329,0,1,ds_frenchDB-ddis_res.pkl
DB08888,DB00587,0,1,ds_frenchDB-ddis_res.pkl
DB00357,DB00909,0,1,ds_frenchDB-ddis_res.pkl
DB02574,DB00309,0,1,ds_frenchDB-ddis_res.pkl
DB11921,DB09151,0,1,ds_frenchDB-ddis_res.pkl
DB05276,DB01209,0,1,ds_frenchDB-ddis_res.pkl
DB00703,DB11761,0,1,ds_frenchDB-ddis_res.pkl
DB09241,DB01718,0,1,ds_frenchDB-ddis_res.pkl
DB08414,DB00623,0,1,ds_frenchDB-ddis_res.pkl
DB00295,DB01421,0,1,ds_frenchDB-ddis_res.pkl
DB01120,DB00147,0,1,ds_frenchDB-ddis_res.pkl
DB09040,DB09371,0,1,ds_frenchDB-ddis_res.pkl
DB00525,DB14669,0,1,ds_frenchDB-ddis_res.pkl
DB00219,DB00020,0,1,ds_frenchDB-ddis_res.pkl
DB14499,DB03068,0,1,ds_frenchDB-ddis_res.pkl
DB17635,DB11855,0,1,ds_frenchDB-ddis_res.pkl
DB00110,DB11447,0,1,ds_frenchDB-ddis_res.pkl
