drug1,drug2,target,new_target,source_file
DB00004,DB07926,0,0,ds_crediblemeds-ddis_res.pkl
DB11757,DB02497,0,0,ds_crediblemeds-ddis_res.pkl
DB07827,DB07153,0,0,ds_crediblemeds-ddis_res.pkl
DB00220,DB07478,0,0,ds_crediblemeds-ddis_res.pkl
DB03944,DB01814,0,0,ds_crediblemeds-ddis_res.pkl
DB11976,DB04303,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB08358,DB13154,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB03344,DB02766,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB01118,DB04610,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB03394,DB04279,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB00981,DB04391,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB12329,DB00703,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB09317,DB07030,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB07287,DB04445,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB08119,DB02729,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB01212,DB08472,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB08235,DB09043,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB01785,DB02765,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB04010,DB09205,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB02115,DB07689,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB04604,DB06847,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB08003,DB11952,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB11581,DB01754,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB04798,DB06968,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB00665,DB09310,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB02320,DB07123,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB02701,DB07633,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB12688,DB06865,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB07072,DB08883,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB07103,DB08659,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB07223,DB00098,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB00507,DB02989,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB08899,DB02302,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB07460,DB08212,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB06249,DB00588,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB08768,DB07697,0,0,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB00067,DB08329,0,1,ds_ddicorpus2011-ddis-inchi-and_res.pkl
DB08089,DB01819,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB06950,DB14762,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB01695,DB01226,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB08501,DB04365,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB01082,DB00030,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB04391,DB04352,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB02681,DB01911,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB01880,DB02558,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB08198,DB06998,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB09297,DB02933,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB07986,DB02137,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB07949,DB07977,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB01764,DB00440,0,1,ds_ddicorpus2013-ddis-inchi-and_res.pkl
DB06775,DB07336,0,0,ds_ddicorpus2013-ddis-inchi-and_res.pkl
