smiles1_tokens,smiles2_tokens,org1_tokens,org2_tokens,genes1_tokens,genes2_tokens,total_tokens
52.0,45.0,1.0,1.0,59,21,179
47.0,62.0,1.0,1.0,2,3,116
23.0,26.0,1.0,25.0,17,18,110
34.0,25.0,1.0,1.0,3,3,67
30.0,45.0,7.0,1.0,1,11,95
31.0,53.0,1.0,1.0,2,2,90
36.0,25.0,1.0,1.0,13,3,79
40.0,,1.0,1.0,85,44,171
37.0,27.0,1.0,1.0,3,86,155
25.0,35.0,1.0,1.0,58,64,184
53.0,34.0,1.0,1.0,9,9,107
54.0,4.0,15.0,1.0,4,4,82
22.0,7.0,1.0,10.0,7,7,54
23.0,27.0,1.0,1.0,107,2,161
41.0,57.0,7.0,1.0,9,9,124
59.0,,1.0,1.0,2,2,65
33.0,62.0,1.0,1.0,19,8,124
29.0,38.0,10.0,1.0,2,2,82
38.0,21.0,1.0,1.0,5,3,69
9.0,74.0,1.0,1.0,11,4,100
21.0,25.0,1.0,1.0,7,7,62
62.0,22.0,1.0,1.0,7,156,249
45.0,36.0,1.0,1.0,3,3,89
14.0,38.0,1.0,1.0,33,50,137
49.0,23.0,1.0,1.0,26,3,103
44.0,,1.0,1.0,3,9,58
41.0,21.0,1.0,1.0,3,4,71
56.0,25.0,1.0,1.0,87,34,204
16.0,9.0,1.0,1.0,3,3,33
64.0,47.0,1.0,1.0,2,4,119
61.0,66.0,10.0,1.0,3,3,144
47.0,46.0,3.0,1.0,2,6,105
,,1.0,1.0,4,2,8
27.0,113.0,1.0,10.0,3,6,160
60.0,56.0,1.0,1.0,40,7,165
30.0,43.0,1.0,1.0,4,96,175
56.0,47.0,1.0,1.0,87,15,207
85.0,,1.0,1.0,3,11,101
16.0,41.0,7.0,1.0,3,2,70
38.0,30.0,1.0,1.0,5,5,80
26.0,24.0,1.0,30.0,5,6,92
58.0,21.0,1.0,1.0,7,26,114
58.0,60.0,1.0,1.0,7,3,130
,14.0,1.0,7.0,2,3,27
51.0,29.0,1.0,1.0,3,3,88
36.0,42.0,1.0,1.0,2,6,88
42.0,44.0,6.0,17.0,4,5,118
45.0,26.0,1.0,1.0,19,21,113
9.0,41.0,1.0,1.0,7,3,62
41.0,49.0,1.0,1.0,181,2,275
80.0,,6.0,8.0,2,2,98
43.0,41.0,1.0,7.0,3,9,104
,36.0,1.0,1.0,9,1,48
27.0,31.0,11.0,1.0,3,9,82
73.0,32.0,1.0,1.0,14,85,206
68.0,39.0,5.0,1.0,3,23,139
17.0,34.0,1.0,1.0,7,3,63
,40.0,1.0,1.0,14,3,59
44.0,14.0,7.0,2.0,4,17,88
44.0,39.0,1.0,1.0,9,22,116
,179.0,1.0,1.0,11,10,202
2.0,58.0,1.0,1.0,242,1,305
21.0,15.0,1.0,6.0,16,7,66
12.0,38.0,10.0,1.0,2,7,70
83.0,10.0,1.0,1.0,12,2,109
44.0,19.0,1.0,1.0,10,8,83
72.0,50.0,1.0,1.0,3,32,159
34.0,71.0,1.0,1.0,7,2,116
74.0,66.0,1.0,1.0,3,11,156
16.0,34.0,1.0,1.0,2,5,59
105.0,36.0,1.0,1.0,3,28,174
15.0,5.0,6.0,1.0,7,1,35
36.0,64.0,1.0,1.0,1,1,104
34.0,62.0,4.0,9.0,1,3,113
88.0,34.0,,1.0,3,7,133
31.0,19.0,8.0,1.0,4,4,67
24.0,23.0,1.0,1.0,75,16,140
60.0,31.0,1.0,1.0,6,6,105
,48.0,1.0,,14,8,71
56.0,136.0,1.0,1.0,3,10,207
64.0,35.0,1.0,35.0,3,2,140
3.0,57.0,1.0,1.0,8,2,72
45.0,19.0,1.0,1.0,1,3,70
26.0,33.0,1.0,1.0,5,11,77
37.0,356.0,1.0,1.0,3,12,410
77.0,130.0,1.0,1.0,3,7,219
33.0,60.0,1.0,1.0,148,11,254
12.0,54.0,10.0,1.0,5,10,92
31.0,,1.0,1.0,3,7,43
49.0,,1.0,1.0,14,11,76
20.0,27.0,1.0,9.0,47,10,114
585.0,9.0,1.0,1.0,7,39,642
37.0,53.0,1.0,8.0,4,16,119
39.0,22.0,1.0,1.0,13,156,232
18.0,43.0,1.0,1.0,107,2,172
55.0,34.0,1.0,1.0,78,16,185
35.0,44.0,1.0,1.0,3,7,91
31.0,24.0,1.0,1.0,11,75,143
62.0,49.0,1.0,10.0,7,3,132
20.0,39.0,1.0,1.0,14,7,82
37.0,19.0,1.0,1.0,10,6,74
94.0,67.0,1.0,1.0,3,4,170
6.0,9.0,6.0,1.0,153,2,177
53.0,13.0,1.0,,3,7,77
24.0,28.0,1.0,1.0,17,29,100
32.0,46.0,1.0,1.0,7,2,89
28.0,2.0,1.0,1.0,4,5,41
48.0,19.0,1.0,1.0,7,2,78
25.0,21.0,1.0,1.0,58,77,183
31.0,62.0,1.0,1.0,7,6,108
21.0,24.0,1.0,1.0,15,17,79
14.0,25.0,1.0,1.0,41,3,85
23.0,17.0,1.0,1.0,33,14,89
,64.0,1.0,1.0,2,26,94
19.0,,4.0,1.0,1,7,32
51.0,54.0,1.0,1.0,1,3,111
17.0,20.0,1.0,1.0,3,2,44
27.0,148.0,1.0,2.0,9,3,190
47.0,373.0,1.0,1.0,3,138,563
99.0,32.0,1.0,1.0,2,29,164
23.0,35.0,1.0,1.0,4,34,98
22.0,25.0,1.0,1.0,3,3,55
55.0,12.0,1.0,7.0,3,1,79
59.0,,1.0,1.0,2,8,71
40.0,51.0,1.0,1.0,3,2,98
27.0,38.0,1.0,1.0,11,116,194
23.0,23.0,1.0,1.0,11,4,63
4.0,114.0,1.0,1.0,3,8,131
6.0,29.0,1.0,1.0,16,9,62
37.0,38.0,1.0,1.0,3,8,88
9.0,88.0,1.0,5.0,6,3,112
37.0,9.0,1.0,7.0,2,2,58
49.0,53.0,1.0,1.0,3,25,132
10.0,38.0,1.0,1.0,362,14,426
45.0,23.0,1.0,1.0,8,17,95
6.0,20.0,1.0,1.0,29,97,154
39.0,,1.0,1.0,6,6,53
3.0,48.0,1.0,1.0,16,23,92
37.0,36.0,1.0,1.0,136,7,218
33.0,44.0,1.0,1.0,5,8,92
101.0,52.0,10.0,1.0,9,15,188
27.0,30.0,1.0,1.0,7,116,182
28.0,14.0,1.0,6.0,29,32,110
64.0,46.0,10.0,1.0,45,16,182
44.0,40.0,1.0,1.0,10,3,99
30.0,38.0,1.0,1.0,1,4,75
32.0,36.0,7.0,1.0,25,3,104
23.0,40.0,1.0,1.0,20,2,87
22.0,,1.0,1.0,2,2,28
66.0,47.0,1.0,1.0,20,4,139
62.0,23.0,1.0,1.0,7,107,201
20.0,65.0,1.0,1.0,35,4,126
33.0,7.0,1.0,13.0,11,1,66
43.0,4.0,10.0,1.0,3,3,64
11.0,48.0,1.0,1.0,44,1,106
50.0,33.0,10.0,1.0,2,7,103
42.0,152.0,1.0,1.0,3,7,206
586.0,23.0,1.0,12.0,7,3,632
74.0,50.0,7.0,10.0,1,11,153
7.0,24.0,1.0,1.0,19,29,81
591.0,20.0,1.0,1.0,7,14,634
93.0,38.0,1.0,7.0,4,7,150
50.0,,1.0,1.0,10,2,64
47.0,22.0,1.0,1.0,6,11,88
16.0,9.0,1.0,1.0,11,16,54
23.0,25.0,12.0,1.0,2,4,67
,,1.0,1.0,7,3,12
54.0,51.0,7.0,1.0,1,6,120
92.0,40.0,1.0,1.0,9,85,228
