DS,GEMMA2,GPT-4o,PHI3.5,QWEN2.5,drug1,drug2,source_file,target
0,0,0,0,0,DB00004,DB07926,CREDIBLEMES,0
0,0,0,0,1,DB11757,DB02497,CREDIBLEMES,0
0,0,0,0,0,DB07827,DB07153,CREDIBLEMES,0
0,0,0,0,0,DB00220,DB07478,CREDIBLEMES,0
0,0,0,0,0,DB03944,DB01814,CREDIBLEMES,0
0,0,0,0,0,DB11976,DB04303,DDI2011,0
0,0,0,0,0,DB08358,DB13154,DDI2011,0
0,0,0,0,0,DB03344,DB02766,DDI2011,0
0,0,0,0,0,DB01118,DB04610,DDI2011,0
0,0,0,0,0,DB03394,DB04279,DDI2011,0
1,0,0,1,1,DB00981,DB04391,DDI2011,0
1,0,1,1,1,DB12329,DB00703,DDI2011,0
0,0,0,0,1,DB09317,DB07030,DDI2011,0
0,0,0,0,0,DB07287,DB04445,DDI2011,0
0,0,0,0,0,DB08119,DB02729,DDI2011,0
0,1,1,1,1,DB01212,DB08472,DDI2011,0
0,0,0,0,0,DB08235,DB09043,DDI2011,0
0,0,0,0,0,DB01785,DB02765,DDI2011,0
0,0,0,0,0,DB04010,DB09205,DDI2011,0
0,0,0,0,0,DB02115,DB07689,DDI2011,0
0,0,0,0,0,DB04604,DB06847,DDI2011,0
1,0,0,0,0,DB08003,DB11952,DDI2011,0
0,0,0,0,0,DB11581,DB01754,DDI2011,0
0,0,0,0,0,DB04798,DB06968,DDI2011,0
1,0,1,1,1,DB00665,DB09310,DDI2011,0
0,0,0,0,0,DB02320,DB07123,DDI2011,0
0,0,0,0,0,DB02701,DB07633,DDI2011,0
0,0,0,0,0,DB12688,DB06865,DDI2011,0
0,0,0,0,0,DB07072,DB08883,DDI2011,0
0,0,0,0,0,DB07103,DB08659,DDI2011,0
0,0,0,0,0,DB07223,DB00098,DDI2011,0
1,0,0,0,0,DB00507,DB02989,DDI2011,0
0,0,0,0,1,DB08899,DB02302,DDI2011,0
0,0,0,0,0,DB07460,DB08212,DDI2011,0
1,0,1,1,1,DB06249,DB00588,DDI2011,0
0,0,0,0,0,DB08768,DB07697,DDI2011,0
1,0,1,1,0,DB00067,DB08329,DDI2011,0
0,0,0,0,0,DB08089,DB01819,DDI2013,0
0,0,0,0,0,DB06950,DB14762,DDI2013,0
0,0,0,0,0,DB01695,DB01226,DDI2013,0
0,0,0,0,0,DB08501,DB04365,DDI2013,0
1,1,1,1,1,DB01082,DB00030,DDI2013,0
0,0,0,0,0,DB04391,DB04352,DDI2013,0
0,0,0,0,0,DB02681,DB01911,DDI2013,0
0,0,0,0,0,DB01880,DB02558,DDI2013,0
0,0,0,0,0,DB08198,DB06998,DDI2013,0
