drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB00392,DB01026,Profenamine,Ketoconazole,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,"['CHRM1', 'GRIN3A', 'CHRM2']","['ERG11', 'CYP17A1', 'AR', 'CYP21A2', 'KCNH2', 'NR1I2', 'NR1I3']",Humans,Humans,1,interaction,1,0.9992509286541227,1,TP
DB01077,DB01026,Etidronic acid,Ketoconazole,CC(O)(P(O)(O)=O)P(O)(O)=O,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,"['PTPRS', 'ATP6V1A', 'SLC25A4', 'SLC25A5', 'SLC25A6']","['ERG11', 'CYP17A1', 'AR', 'CYP21A2', 'KCNH2', 'NR1I2', 'NR1I3']",Humans,Humans,1,interaction,1,0.9998062530813588,1,TP
DB01078,DB01263,Deslanoside,Posaconazole,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,CC[C@@H]([C@H](C)O)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(C2)C2=C(F)C=C(F)C=C2)C=C1,['ATP1A1'],['ERG11'],Humans,Yeast,1,interaction,1,0.999761326687008,1,TP
DB01080,DB00196,Vigabatrin,Fluconazole,NC(CCC(O)=O)C=C,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,['ABAT'],['ERG11'],Humans,Yeast,1,interaction,1,0.9999477157538689,1,TP
DB00175,DB00582,Pravastatin,Voriconazole,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,"['HMGCR', 'HDAC2']",['ERG11'],Humans,Yeast,1,interaction,1,0.9999452126088839,1,TP
DB00004,DB07926,Denileukin diftitox,N-[3-(N'-HYDROXYCARBOXAMIDO)-2-(2-METHYLPROPYL)-PROPANOYL]-O-TYROSINE-N-METHYLAMIDE,,[H][C@@](CC(C)C)(CC(=O)NO)C(=O)N[C@@]([H])(CC1=CC=C(OC)C=C1)C(=O)NC,"['IL2RA', 'IL2RB', 'IL2RG']",['MMP1'],Humans,Humans,0,no interaction,0,0.9999751911382949,1,TN
DB11757,DB02497,Istradefylline,L-Alpha-Glycerophosphorylserine,[H]\C(=C(\[H])C1=CC(OC)=C(OC)C=C1)C1=NC2=C(N1C)C(=O)N(CC)C(=O)N2CC,[H][C@@](O)(CO)COP(O)(=O)OC[C@]([H])(N)C(O)=O,"['ADORA2A', 'ADORA1']",['ANXA5'],Humans,Humans,0,no interaction,0,0.9999853232503796,1,TN
DB07827,DB07153,"4-{[1-METHYL-2,4-DIOXO-6-(3-PHENYLPROP-1-YN-1-YL)-1,4-DIHYDROQUINAZOLIN-3(2H)-YL]METHYL}BENZOIC ACID","6-methyl-5-[3-methyl-3-(3,4,5-trimethoxyphenyl)but-1-yn-1-yl]pyrimidine-2,4-diamine",CN1C(=O)N(CC2=CC=C(C=C2)C(O)=O)C(=O)C2=C1C=CC(=C2)C#CCC1=CC=CC=C1,COC1=CC(=CC(OC)=C1OC)C(C)(C)C#CC1=C(C)N=C(N)N=C1N,['MMP13'],['dfrB'],Humans,Staphylococcus aureus (strain bovine RF122 / ET3-1),0,no interaction,0,0.9999990315640039,1,TN
DB00220,DB07478,Nelfinavir,"3,4-Biphenyldiol",[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,OC1=C(O)C=C(C=C1)C1=CC=CC=C1,['HIV-1 protease'],['doxG'],Human Immunodeficiency Virus,Pseudomonas sp. (strain C18),0,no interaction,0,0.9979598770164317,1,TN
DB03944,DB01814,"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",2-Tridecanoyloxy-Pentadecanoic Acid,[H][C@]1(C)SC(=O)NN=C1C1=CC2=C(C=C1)N(CCC2)C(=O)C1=CC(OC)=C(OC)C=C1,[H][C@](CCCCCCCCCCCC)(CC(O)=O)OC(=O)CCCCCCCCCCCC,['TNNC1'],['fhuA'],Humans,Escherichia coli (strain K12),0,no interaction,0,0.99999861435166,1,TN
