drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB07460,DB08212,2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE,1-[2-(3-ACETYL-2-HYDROXY-6-METHOXY-PHENYL)-CYCLOPROPYL]-3-(5-CYANO-PYRIDIN-2-YL)-THIOUREA,CNC(=O)C1=C(NC2=NC(NC3=CC=C(C=C3OC)N3CCOCC3)=NC=C2Cl)C=CC=C1,[H][C@]1(C[C@]1([H])C1=C(OC)C=CC(C(C)=O)=C1O)NC(=S)NC1=NC=C(C=C1)C#N,['PTK2'],['gag-pol'],Humans,,0,no interaction,0,0.9999857404566682,1,TN
DB06249,DB00588,Arzoxifene,Fluticasone propionate,COC1=CC=C(C=C1)C1=C(OC2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,"['ESR1', 'ESR2']","['NR3C1', 'PGR', 'PLA2G4A', 'NR3C2']",Humans,Humans,0,interaction,1,0.9769958740784612,0,FP
DB08768,DB07697,N(6)-dimethylallyladenine,"1-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine",CC(C)=CCNC1=NC=NC2=C1N=CN2,COC1=CC=C(C=C1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)C1=CC=C2OCCOC2=C1,['CDK2'],['PKM'],Humans,Humans,0,no interaction,0,0.9999975415208721,1,TN
DB00067,DB08329,Vasopressin,Sulthiame,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,NS(=O)(=O)C1=CC=C(C=C1)N1CCCCS1(=O)=O,"['AVPR2', 'AVPR1A', 'AVPR1B', 'OXTR']",['CA2'],Humans,Humans,0,interaction,1,0.851823749786846,0,FP
DB11976,DB04303,Anifrolumab,4-O-methyl-alpha-D-glucuronic acid,,[H][C@]1(O)O[C@]([H])(C(O)=O)[C@@]([H])(OC)[C@]([H])(O)[C@@]1([H])O,['IFNAR1'],"['xynC', 'aguA']",Humans,Geobacillus stearothermophilus,0,no interaction,0,0.9999975191234274,1,TN
DB08358,DB13154,"2-(2-QUINOLIN-3-YLPYRIDIN-4-YL)-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE",Parachlorophenol,O=C1NCCC2=C1C=C(N2)C1=CC(=NC=C1)C1=CC2=C(C=CC=C2)N=C1,OC1=CC=C(Cl)C=C1,"['MAPKAPK2', 'MAPKAPK3']",['SCN4A'],Humans,Humans,0,no interaction,0,0.9999955746670918,1,TN
DB03344,DB02766,"Inositol-(1,3,4,5,6)-Pentakisphosphate",(3R)-3-{[(Benzyloxy)carbonyl]amino}-2-oxo-4-phenylbutane-1-diazonium,[H][C@]1(O)[C@]([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@@]([H])(OP(O)(O)=O)[C@]([H])(OP(O)(O)=O)[C@@]1([H])OP(O)(O)=O,O=C(N[C@H](CC1=CC=CC=C1)C(=O)C[N+]#N)OCC1=CC=CC=C1,['CYTH3'],['speB'],Humans,Streptococcus pyogenes,0,no interaction,0,0.9999993295728997,1,TN
DB01118,DB04610,Amiodarone,"7,8-dihydro-6-hydroxymethyl-7-methyl-7-[2-phenylethyl]-pterin",CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,C[C@@]1(CCC2=CC=CC=C2)NC2=C(N=C1CO)C(=O)NC(N)=N2,"['KCNH2', 'KCNH6', 'KCNH7', 'ADRB1', 'ADRB2', 'ADRB3', 'CACNA1I', 'CACNA1C', 'CACNA1D', 'CACNA1F', 'CACNA1S', 'CACNB1', 'CACNB2', 'CACNB3', 'CACNB4', 'THRA', 'THRB', 'PPARG', 'PPARA', 'PPARGC1B']",['folK'],Humans,Escherichia coli (strain K12),0,no interaction,0,0.9999818664014157,1,TN
DB03394,DB04279,Heptaethylene glycol,3-Isopropylmalic Acid,OCCOCCOCCOCCOCCOCCOCCO,CC(C)C(C(O)C(O)=O)C(O)=O,['CBR1'],"['icd', 'leuB']",Humans,Thiobacillus ferrooxidans,0,no interaction,0,0.9999995679801184,1,TN
DB00981,DB04391,Physostigmine,Aeruginosin 98-B,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C,[H]N([H])C(=NCCCCN([H])C(=O)[C@@H]1C[C@]2([H])CC[C@H](C[C@]2([H])N1C(=O)[C@H](N([H])C(=O)[C@H](O)CC1=CC=C(O)C=C1)[C@H](C)CC)OS(O)(=O)=O)N([H])[H],"['ACHE', 'CHRNA4', 'CHRNB2']",['PRSS1'],Humans,Humans,0,no interaction,0,0.9994124039866935,1,TN
DB12329,DB00703,Eravacycline,Methazolamide,[H][C@@]12CC3=C(F)C=C(NC(=O)CN4CCCC4)C(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O,['rpsD'],"['CA1', 'CA4', 'CA2', 'CA7', 'CA3']",Escherichia coli (strain K12),Humans,0,no interaction,0,0.42710560594761726,1,TN
DB09317,DB07030,"Synthetic Conjugated Estrogens, A",(5-CHLORO-2-{[(3-NITROBENZYL)AMINO]CARBONYL}PHENOXY)ACETIC ACID,,OC(=O)COC1=CC(Cl)=CC=C1C(=O)NCC1=CC(=CC=C1)[N+]([O-])=O,['ESR1'],['AKR1B1'],Humans,Humans,0,no interaction,0,0.9999158960482857,1,TN
DB07287,DB04445,"2-(2,4-DICHLOROPHENOXY)-5-(PYRIDIN-2-YLMETHYL)PHENOL",Mercuric iodide,OC1=CC(CC2=CC=CC=N2)=CC=C1OC1=CC=C(Cl)C=C1Cl,I[Hg]I,['inhA'],['SULT2A1'],Mycobacterium tuberculosis,Humans,0,no interaction,0,0.9999791843708232,1,TN
DB08119,DB02729,"1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)",SD146,[H][C@@](CC(C)C)(NC(C)=O)C(=O)N[C@@]([H])(CC1=CC=CC=C1)C(=O)C(F)(F)F,O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC=CC(=C2)C(=O)NC2=NC3=C(N2)C=CC=C3)C(=O)N(CC2=CC(=CC=C2)C(=O)NC2=NC3=C(N2)C=CC=C3)[C@@H]1CC1=CC=CC=C1,['CTRB1'],['gag-pol'],Humans,,0,no interaction,0,0.9999912833629901,1,TN
DB01212,DB08472,Ceftriaxone,(R)-Fluoxetine,[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,CNCC[C@@H](OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,"['penA', 'SLC22A11', 'SLC22A6', 'SLC22A8', 'SLC15A1']",['snf'],Humans,Aquifex aeolicus (strain VF5),0,interaction,1,0.9858305323853831,0,FP
DB07103,DB08659,2-(4-METHYLPHENOXY)ETHYLPHOSPHINATE,2-(hydrazinocarbonyl)-3-phenyl-1H-indole-5-sulfonamide,[H][P@]([O-])(=O)CCOC1=CC=C(C)C=C1,NNC(=O)C1=C(C2=C(N1)C=CC(=C2)S(N)(=O)=O)C1=CC=CC=C1,['npr'],['CA2'],Bacillus thermoproteolyticus,Humans,0,no interaction,0,0.9999999031936797,1,TN
