drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB00220,DB00900,Nelfinavir,Didanosine,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O,['HIV-1 protease'],"['pol', 'PNP']",Human Immunodeficiency Virus,Humans,1,interaction,1,0.9998155492131385,1,TP
DB01092,DB00450,Ouabain,Droperidol,[H][C@@]12CC[C@]3(O)C[C@H](C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,"['ATP1A1', 'ATP1A2', 'ATP1A3']","['ADRA1A', 'DRD2']",Humans,Humans,1,interaction,1,0.9984489673962916,1,TP
DB01092,DB00692,Ouabain,Phentolamine,[H][C@@]12CC[C@]3(O)C[C@H](C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1,"['ATP1A1', 'ATP1A2', 'ATP1A3']","['ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'KCNJ11']",Humans,Humans,1,interaction,1,0.9997933816685082,1,TP
DB00233,DB00115,Aminosalicylic acid,Cyanocobalamin,NC1=CC(O)=C(C=C1)C(O)=O,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,"['PTGS2', 'CHUK', 'ALOX5', 'PLA2G2E']","['MTR', 'MUT', 'MTRR', 'MMAA', 'MMACHC', 'MTHFR']",Humans,Humans,1,no interaction,0,0.99840957804436,0,FN
DB00738,DB00943,Pentamidine,Zalcitabine,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,['TRDMT1'],['pol'],Humans,Human immunodeficiency virus 1,1,interaction,1,0.9999429478675348,1,TP
DB00738,DB00943,Pentamidine,Zalcitabine,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,['TRDMT1'],['pol'],Humans,Human immunodeficiency virus 1,1,interaction,1,0.9999442590335854,1,TP
DB01174,DB00945,Phenobarbital,Acetylsalicylic acid,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,CC(=O)OC1=CC=CC=C1C(O)=O,"['GABRA1', 'CHRNA4', 'CHRNA7', 'GRIA2', 'GRIK2', 'GRIN1', 'GRIN2A', 'GRIN2B', 'GRIN2C', 'GRIN2D', 'GRIN3A', 'GRIN3B', 'NR1I2']","['PTGS1', 'PTGS2', 'AKR1C1', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PRKAG2', 'PRKAG3', 'EDNRA', 'TP53', 'HSPA5', 'RPS6KA3', 'NFKBIA', 'TNFAIP6', 'CASP1', 'CASP3', 'IKBKB', 'MAPK1', 'MAPK15', 'MAPK3', 'MAPK4', 'MAPK6', 'MAPK7', 'CCND1', 'MYC', 'PCNA', 'NEU1']",Humans,Humans,1,interaction,1,0.9995646574190928,1,TP
DB01174,DB00573,Phenobarbital,Fenoprofen,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,"['GABRA1', 'CHRNA4', 'CHRNA7', 'GRIA2', 'GRIK2', 'GRIN1', 'GRIN2A', 'GRIN2B', 'GRIN2C', 'GRIN2D', 'GRIN3A', 'GRIN3B', 'NR1I2']","['PTGS2', 'PPARA', 'PPARG', 'PTGS1']",Humans,Humans,1,interaction,1,0.999777296302151,1,TP
DB01174,DB00573,Phenobarbital,Fenoprofen,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,"['GABRA1', 'CHRNA4', 'CHRNA7', 'GRIA2', 'GRIK2', 'GRIN1', 'GRIN2A', 'GRIN2B', 'GRIN2C', 'GRIN2D', 'GRIN3A', 'GRIN3B', 'NR1I2']","['PTGS2', 'PPARA', 'PPARG', 'PTGS1']",Humans,Humans,1,interaction,1,0.9998823976956932,1,TP
DB01057,DB00202,Echothiophate,Succinylcholine,CCOP(=O)(OCC)SCC[N+](C)(C)C,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,['BCHE'],"['CHRNA10', 'CHRNA2', 'CHRNA3', 'CHRNA4', 'CHRNA5', 'CHRNA6', 'CHRNA7', 'CHRNA9', 'CHRNB2', 'CHRNB3', 'CHRNB4', 'CHRM2', 'CHRM3']",Humans,Humans,1,interaction,1,0.9999864556687252,1,TP
DB00981,DB00898,Physostigmine,Ethanol,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C,CCO,"['ACHE', 'CHRNA4', 'CHRNB2']","['GABRA1', 'GRIN3A', 'GLRA1', 'GLRA2', 'CACNB1', 'HTR3A', 'GABRA2', 'CHRNA10', 'CACNA1C', 'GABRA5', 'GABRA4', 'GABRA3', 'GRIA1', 'CACNG1', 'CHRNA2', 'GABRA6', 'GRIA2', 'GRIA4', 'GRIA3', 'CHRNA4', 'CHRNB2', 'KCNJ3', 'KCNJ6', 'VCAM1', 'SLC29A1', 'KCNJ5', 'CHRNA7', 'CHRNA9', 'GABRB1', 'GABRB3', 'GABRB2', 'CACNA1S', 'CACNA1D', 'CHRNB4', 'CHRNA3', 'CHRNA5', 'CHRNA6', 'CHRNB3', 'GABRG1', 'GABRG3', 'GABRE', 'GABRP', 'GABRQ', 'GABRD', 'SLC29A2', 'HTR3E', 'HTR3B', 'HTR3D', 'HTR3C', 'CACNG2', 'KCNJ9', 'L1CAM', 'ACHE', 'ADH7']",Humans,Humans,1,interaction,1,0.999995276659155,1,TP
DB00733,DB00572,Pralidoxime,Atropine,C[N+]1=C(\C=N\O)C=CC=C1,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,"['ACHE', 'BCHE']","['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5', 'GLRA1', 'CHRNA4', 'CHRNB2']",Humans,Humans,1,interaction,1,0.9999789459686392,1,TP
DB01032,DB00415,Probenecid,Ampicillin,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,"['SLC22A6', 'SLC22A11', 'SLC22A8', 'PANX1', 'TAS2R16']","['pbp2a', 'pbp1b', 'pbp3', 'pbpA', 'penA', 'SLC15A1', 'SLC15A2', 'TEK']",Humans,Humans,1,interaction,1,0.9999993295729247,1,TP
DB01032,DB00636,Probenecid,Clofibrate,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,"['SLC22A6', 'SLC22A11', 'SLC22A8', 'PANX1', 'TAS2R16']",['PPARA'],Humans,Humans,1,interaction,1,0.9991688017368181,1,TP
DB01032,DB00299,Probenecid,Penciclovir,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,"['SLC22A6', 'SLC22A11', 'SLC22A8', 'PANX1', 'TAS2R16']",['TK'],Humans,,1,interaction,1,0.9999844292352256,1,TP
DB00400,DB00855,Griseofulvin,Aminolevulinic acid,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,NCC(=O)CCC(O)=O,['KRT12'],['ALAD'],Humans,Humans,1,interaction,1,0.9984425476896044,1,TP
DB00072,DB01259,Trastuzumab,Lapatinib,,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1,['ERBB2'],"['EGFR', 'ERBB2']",Humans,Humans,1,interaction,1,0.9999446166237158,1,TP
DB00943,DB00900,Zalcitabine,Didanosine,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O,['pol'],"['pol', 'PNP']",Human immunodeficiency virus 1,Humans,1,interaction,1,0.9999663107274963,1,TP
DB06720,DB00419,Velaglucerase alfa,Miglustat,,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,['GBA'],['UGCG'],Humans,Humans,1,interaction,1,0.9999272140090287,1,TP
DB00964,DB00898,Apraclonidine,Ethanol,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,CCO,"['ADRA1A', 'ADRA2A', 'ADRA2B']","['GABRA1', 'GRIN3A', 'GLRA1', 'GLRA2', 'CACNB1', 'HTR3A', 'GABRA2', 'CHRNA10', 'CACNA1C', 'GABRA5', 'GABRA4', 'GABRA3', 'GRIA1', 'CACNG1', 'CHRNA2', 'GABRA6', 'GRIA2', 'GRIA4', 'GRIA3', 'CHRNA4', 'CHRNB2', 'KCNJ3', 'KCNJ6', 'VCAM1', 'SLC29A1', 'KCNJ5', 'CHRNA7', 'CHRNA9', 'GABRB1', 'GABRB3', 'GABRB2', 'CACNA1S', 'CACNA1D', 'CHRNB4', 'CHRNA3', 'CHRNA5', 'CHRNA6', 'CHRNB3', 'GABRG1', 'GABRG3', 'GABRE', 'GABRP', 'GABRQ', 'GABRD', 'SLC29A2', 'HTR3E', 'HTR3B', 'HTR3D', 'HTR3C', 'CACNG2', 'KCNJ9', 'L1CAM', 'ACHE', 'ADH7']",Humans,Humans,1,interaction,1,0.9999900317366834,1,TP
DB01247,DB00822,Isocarboxazid,Disulfiram,CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1,CCN(CC)C(=S)SSC(=S)N(CC)CC,"['MAOA', 'MAOB']","['DBH', 'ALDH2']",Humans,Humans,1,interaction,1,0.9999936078174301,1,TP
DB01026,DB00764,Ketoconazole,Mometasone,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"['ERG11', 'CYP17A1', 'AR', 'CYP21A2', 'KCNH2', 'NR1I2', 'NR1I3']","['NR3C1', 'PGR']",Humans,Humans,1,interaction,1,0.9999124339341318,1,TP
DB01026,DB01157,Ketoconazole,Trimetrexate,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC,"['ERG11', 'CYP17A1', 'AR', 'CYP21A2', 'KCNH2', 'NR1I2', 'NR1I3']",['DHFR'],Humans,Humans,1,interaction,1,0.9990899044883612,1,TP
