drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB00436,DB06288,Bendroflumethiazide,Amisulpride,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,"['SLC12A3', 'KCNMA1', 'CA1', 'CA2', 'CA4']","['HTR7', 'HTR2A', 'DRD2', 'DRD3', 'OPRM1', 'OPRD1', 'OPRK1']",Humans,Humans,1,interaction,1,0.9998773990761076,1,TP
DB00436,DB01246,Bendroflumethiazide,Alimemazine,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,CC(CN(C)C)CN1C2=CC=CC=C2SC2=CC=CC=C12,"['SLC12A3', 'KCNMA1', 'CA1', 'CA2', 'CA4']",['HRH1'],Humans,Humans,1,interaction,1,0.9999363920580709,1,TP
DB00443,DB06288,Betamethasone,Amisulpride,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,['NR3C1'],"['HTR7', 'HTR2A', 'DRD2', 'DRD3', 'OPRM1', 'OPRD1', 'OPRK1']",Humans,Humans,1,interaction,1,0.9999776347571058,1,TP
DB00195,DB00915,Betaxolol,Amantadine,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,NC12CC3CC(CC(C3)C1)C2,"['ADRB1', 'ADRB2']","['M', 'GRIN3A', 'DRD2', 'CHRNA7', 'CHRNA4', 'CHRNA3']",Humans,Humans,1,interaction,1,0.999812927220295,1,TP
DB00195,DB06288,Betaxolol,Amisulpride,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,"['ADRB1', 'ADRB2']","['HTR7', 'HTR2A', 'DRD2', 'DRD3', 'OPRM1', 'OPRD1', 'OPRK1']",Humans,Humans,1,interaction,1,0.9999522452652937,1,TP
DB00810,DB01246,Biperiden,Alimemazine,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,CC(CN(C)C)CN1C2=CC=CC=C2SC2=CC=CC=C12,['CHRM1'],['HRH1'],Humans,Humans,1,interaction,1,0.9999497421129699,1,TP
DB00810,DB01246,Biperiden,Alimemazine,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,CC(CN(C)C)CN1C2=CC=CC=C2SC2=CC=CC=C12,['CHRM1'],['HRH1'],Humans,Humans,1,interaction,1,0.999946523779904,1,TP
DB09020,DB06288,Bisacodyl,Amisulpride,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,"['AQP3', 'ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2']","['HTR7', 'HTR2A', 'DRD2', 'DRD3', 'OPRM1', 'OPRD1', 'OPRK1']",Humans,Humans,1,interaction,1,0.9913419338119923,1,TP
DB09020,DB00443,Bisacodyl,Betamethasone,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"['AQP3', 'ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2']",['NR3C1'],Humans,Humans,1,interaction,1,0.9889781209504833,1,TP
DB09020,DB00443,Bisacodyl,Betamethasone,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"['AQP3', 'ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2']",['NR3C1'],Humans,Humans,1,interaction,1,0.9858973887498433,1,TP
DB09020,DB01169,Bisacodyl,Arsenic trioxide,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,O=[As]O[As]=O,"['AQP3', 'ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2']","['IKBKB', 'TXNRD1', 'JUN', 'CCND1', 'MAPK3', 'MAPK1', 'AKT1', 'CDKN1A', 'HDAC1', 'PML']",Humans,Humans,1,interaction,1,0.9999186320055549,1,TP
DB00612,DB00381,Bisoprolol,Amlodipine,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,"['ADRB1', 'ADRB2']","['CACNA1C', 'CACNA1I', 'CACNA1B', 'CACNB1', 'CACNA2D3', 'CA1', 'SMPD1', 'CACNA1B', 'CACNA1B']",Humans,Humans,1,interaction,1,0.999961781147359,1,TP
