drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB09102,DB00572,Daclatasvir,Atropine,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,['NS5A'],"['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5', 'GLRA1', 'CHRNA4', 'CHRNB2']",Hepatitis C Virus,Humans,1,interaction,1,0.6791246971853268,1,TP
DB09102,DB00993,Daclatasvir,Azathioprine,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,['NS5A'],['RAC1'],Hepatitis C Virus,Humans,1,interaction,1,0.9980584916703307,1,TP
DB09102,DB00207,Daclatasvir,Azithromycin,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,['NS5A'],['PADI4'],Hepatitis C Virus,Humans,1,interaction,1,0.9857609164771485,1,TP
DB09102,DB00355,Daclatasvir,Aztreonam,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O,['NS5A'],"['pbpC', 'ampC', 'bla']",Hepatitis C Virus,Escherichia coli,1,interaction,1,0.7772624749962465,1,TP
DB09102,DB00181,Daclatasvir,Baclofen,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,['NS5A'],"['GABBR2', 'CXCR4', 'GABBR1']",Hepatitis C Virus,Humans,1,interaction,1,0.9984849758096116,1,TP
DB09102,DB00542,Daclatasvir,Benazepril,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,['NS5A'],['ACE'],Hepatitis C Virus,Humans,1,interaction,1,0.9980295361179884,1,TP
DB09102,DB00436,Daclatasvir,Bendroflumethiazide,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,['NS5A'],"['SLC12A3', 'KCNMA1', 'CA1', 'CA2', 'CA4']",Hepatitis C Virus,Humans,1,interaction,1,0.99748256646392,1,TP
DB09102,DB01393,Daclatasvir,Bezafibrate,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O,['NS5A'],"['PPARD', 'PPARG', 'PPARA', 'NR1I2', 'RXRA', 'RXRB', 'RXRG']",Hepatitis C Virus,Humans,1,interaction,1,0.995889938517486,1,TP
DB09102,DB11591,Daclatasvir,Bilastine,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCOCCN1C(=NC2=CC=CC=C12)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1,['NS5A'],['HRH1'],Hepatitis C Virus,Humans,1,interaction,1,0.18241957281483953,1,TP
DB09102,DB09020,Daclatasvir,Bisacodyl,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,['NS5A'],"['AQP3', 'ATP1A1', 'ATP1A2', 'ATP1A3', 'ATP1A4', 'ATP1B1', 'ATP1B2', 'ATP1B3', 'FXYD2']",Hepatitis C Virus,Humans,1,no interaction,0,0.8240636085165849,0,FN
DB09102,DB00887,Daclatasvir,Bumetanide,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,['NS5A'],"['SLC12A1', 'SLC12A2', 'SLC12A4', 'SLC12A5', 'CFTR']",Hepatitis C Virus,Humans,1,interaction,1,0.9999284059529762,1,TP
DB09102,DB00297,Daclatasvir,Bupivacaine,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,['NS5A'],"['SCN10A', 'PTGER1']",Hepatitis C Virus,Humans,1,interaction,1,0.9953398736414939,1,TP
DB09102,DB01156,Daclatasvir,Bupropion,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,['NS5A'],"['SLC6A3', 'SLC6A2', 'CHRNA3', 'HTR3A']",Hepatitis C Virus,Humans,1,interaction,1,0.9994288995399836,1,TP
DB09102,DB00796,Daclatasvir,Candesartan cilexetil,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1,['NS5A'],['AGTR1'],Hepatitis C Virus,Humans,1,interaction,1,0.8807599188516676,1,TP
DB09102,DB01101,Daclatasvir,Capecitabine,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,['NS5A'],['TYMS'],Hepatitis C Virus,Humans,1,interaction,1,0.9973139387355104,1,TP
DB09102,DB01048,Daclatasvir,Abacavir,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,['NS5A'],"['pol', 'HLA-B']",Hepatitis C Virus,Humans,1,interaction,1,0.9995035673634777,1,TP
DB09102,DB00659,Daclatasvir,Acamprosate,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CC(=O)NCCCS(O)(=O)=O,['NS5A'],"['GRIN1', 'GRIN2A', 'GRIN2B', 'GRIN2C', 'GRIN2D', 'GRIN3A', 'GRIN3B', 'GRM5', 'GABBR1']",Hepatitis C Virus,Humans,1,no interaction,0,0.9613185412546731,0,FN
DB09102,DB00284,Daclatasvir,Acarbose,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO,['NS5A'],"['MGAM', 'SI', 'AMY2A', 'GAA']",Hepatitis C Virus,Humans,1,no interaction,0,0.9944879385582975,0,FN
DB09102,DB01193,Daclatasvir,Acebutolol,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O,['NS5A'],"['ADRB1', 'ADRB2']",Hepatitis C Virus,Humans,1,interaction,1,0.9913858700687552,1,TP
DB09102,DB01418,Daclatasvir,Acenocoumarol,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O,['NS5A'],['VKORC1'],Hepatitis C Virus,Humans,1,interaction,1,0.9999197047538358,1,TP
DB09102,DB00819,Daclatasvir,Acetazolamide,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,['NS5A'],"['CA1', 'CA2', 'CA4', 'CA12', 'CA14', 'CA3', 'CA7', 'AQP1']",Hepatitis C Virus,Humans,1,interaction,1,0.9914119954134293,1,TP
DB09102,DB00459,Daclatasvir,Acitretin,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,['NS5A'],"['RXRA', 'RARA', 'RARB', 'RARG', 'RXRB', 'RXRG', 'RBP1']",Hepatitis C Virus,,1,interaction,1,0.9992765092457386,1,TP
DB09102,DB06594,Daclatasvir,Agomelatine,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,['NS5A'],"['HTR2C', 'MTNR1A', 'MTNR1B']",Hepatitis C Virus,Humans,1,interaction,1,0.9947372092635387,1,TP
DB09102,DB00518,Daclatasvir,Albendazole,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,['NS5A'],"['TUBA1A', 'TUBB4B']",Hepatitis C Virus,Shewanella oneidensis (strain MR-1),1,interaction,1,0.9240977896368958,1,TP
DB09102,DB09043,Daclatasvir,Albiglutide,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)N)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC6=CN=CN6)N,['NS5A'],['GLP1R'],Hepatitis C Virus,Humans,1,interaction,1,0.6791306055958939,1,TP
DB09102,DB00630,Daclatasvir,Alendronic acid,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,['NS5A'],"['FDPS', 'PTPN4', 'PTPRS', 'PTPRE', 'ATP6V1A']",Hepatitis C Virus,Humans,1,no interaction,0,0.8241103194441087,0,FN
DB09102,DB00346,Daclatasvir,Alfuzosin,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1,['NS5A'],"['ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA1A', 'ADRA1B', 'ADRA1D']",Hepatitis C Virus,Humans,1,interaction,1,0.9994980868005925,1,TP
DB09102,DB09026,Daclatasvir,Aliskiren,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1,['NS5A'],['REN'],Hepatitis C Virus,Humans,1,interaction,1,0.9992668791145312,1,TP
DB09102,DB00918,Daclatasvir,Almotriptan,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,['NS5A'],"['HTR1D', 'HTR1B']",Hepatitis C Virus,Humans,1,interaction,1,0.9947746124836855,1,TP
DB09102,DB06203,Daclatasvir,Alogliptin,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,['NS5A'],['DPP4'],Hepatitis C Virus,Humans,1,interaction,1,0.9770095306222344,1,TP
DB09102,DB00314,Daclatasvir,Capreomycin,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,[H][C@@]1(CCN=C(N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](C)NC(=O)[C@@H](N)CNC1=O)=C/NC(N)=O.[H][C@@]1(CCN=C(N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC1=O)=C/NC(N)=O,['NS5A'],['tlyA'],Hepatitis C Virus,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),1,no interaction,0,0.9511246592802646,0,FN
DB09102,DB01197,Daclatasvir,Captopril,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,['NS5A'],"['ACE', 'MMP2', 'MMP9', 'LTA4H', 'BDKRB1']",Hepatitis C Virus,Humans,1,interaction,1,0.9984650131991997,1,TP
DB09102,DB00190,Daclatasvir,Carbidopa,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,['NS5A'],['DDC'],Hepatitis C Virus,Humans,1,interaction,1,0.9819767569514484,1,TP
DB09102,DB00389,Daclatasvir,Carbimazole,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCOC(=O)N1C=CN(C)C1=S,['NS5A'],['TPO'],Hepatitis C Virus,Humans,1,interaction,1,0.9975105624019948,1,TP
DB09102,DB00395,Daclatasvir,Carisoprodol,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,['NS5A'],"['GABRA1', 'GABRB2', 'GABRG2', 'GABRA5', 'GABRA3']",Hepatitis C Virus,Humans,1,interaction,1,0.998650439077497,1,TP
DB09102,DB01136,Daclatasvir,Carvedilol,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,['NS5A'],"['ADRB1', 'ADRA1A', 'ADRA1A', 'ADRA1B', 'ADRA1D', 'NDUFC2', 'ADRB2', 'VEGFA', 'NPPB', 'GJA1', 'KCNH2', 'VCAM1', 'ADRA1D', 'ADRA1B', 'ADRA2C', 'ADRA2B', 'ADRA2A', 'SELE', 'HIF1A', 'KCNJ4', 'KCNJ2']",Hepatitis C Virus,Humans,1,interaction,1,0.9996390970411464,1,TP
DB09102,DB00833,Daclatasvir,Cefaclor,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,['NS5A'],"['pbp3', 'pbpA']",Hepatitis C Virus,Clostridium perfringens (strain 13 / Type A),1,interaction,1,0.9525399362868683,1,TP
DB09102,DB01327,Daclatasvir,Cefazolin,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O,['NS5A'],"['mrcA', 'mrcB', 'pbpC', 'mrdA', 'ftsI', 'PON1', 'IL15', 'IL2']",Hepatitis C Virus,Humans,1,interaction,1,0.9770074789043744,1,TP
DB09102,DB00671,Daclatasvir,Cefixime,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC(O)=O)\C1=CSC(N)=N1)C(O)=O,['NS5A'],"['mrdA', 'dacA', 'dacB', 'dacC', 'mrcA', 'mrcB', 'mrdA', 'ftsI']",Hepatitis C Virus,Gram positive and gram negative bacteria,1,interaction,1,0.8807669385361943,1,TP
DB09102,DB00493,Daclatasvir,Cefotaxime,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,['NS5A'],"['pbp1b', 'pbp2a', 'pbpC', 'pbpA', 'penA', 'SLC22A6', 'SLC22A8', 'SLC22A11', 'SLC22A7', 'SLC15A1', 'ALB', 'SLC15A2']",Hepatitis C Virus,Humans,1,interaction,1,0.9989595164787501,1,TP
