drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB01048,DB00714,Abacavir,Apomorphine,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,"['pol', 'HLA-B']","['DRD4', 'DRD2', 'DRD3', 'DRD5', 'DRD1', 'ADRA2C', 'ADRA2B', 'HTR1A', 'HTR2A', 'HTR2B', 'HTR2C', 'ADRA2A', 'HTR1D', 'HTR1B']",Humans,Humans,1,interaction,1,0.9998487941127626,1,TP
DB01048,DB00673,Abacavir,Aprepitant,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,"['pol', 'HLA-B']",['TACR1'],Humans,Humans,1,interaction,1,0.9999157713474321,1,TP
DB01048,DB01238,Abacavir,Aripiprazole,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,"['pol', 'HLA-B']","['DRD2', 'HTR2A', 'HTR1A', 'ADRA1A', 'ADRA1B', 'DRD3', 'HTR1D', 'HTR7', 'ADRA2A', 'ADRA2C', 'HRH1', 'HTR1B', 'HTR2C', 'HTR3A', 'HTR6', 'DRD1', 'DRD4', 'ADRA2B', 'HTR1E', 'DRD5', 'HTR2B', 'HTR5A', 'ADRB1', 'ADRB2', 'HRH2', 'HRH3', 'HRH4', 'CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5', 'OPRK1', 'OPRM1', 'OPRD1', 'GRIN1', 'GRIN2A', 'GRIN2B', 'GRIN2C', 'GRIN2D', 'GRIN3A', 'GRIN3B', 'SLC6A3', 'SLC6A4']",Humans,Humans,1,interaction,1,0.999364132209664,1,TP
DB01048,DB06216,Abacavir,Asenapine,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,CN1CC2C(C1)C1=C(OC3=CC=C(Cl)C=C23)C=CC=C1,"['pol', 'HLA-B']","['HTR2A', 'DRD2', 'HTR1A', 'HTR1B', 'HTR2B', 'HTR2C', 'HTR5A', 'HTR6', 'HTR7', 'DRD3', 'DRD4', 'DRD1', 'ADRA1A', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'HRH1', 'HRH2', 'ADRB1', 'ADRB2']",Humans,Humans,1,interaction,1,0.9998484365568994,1,TP
DB01048,DB00335,Abacavir,Atenolol,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,"['pol', 'HLA-B']","['ADRB1', 'ADRB2']",Humans,Humans,1,interaction,1,0.9999093349203267,1,TP
DB01048,DB01076,Abacavir,Atorvastatin,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,"['pol', 'HLA-B']","['HMGCR', 'DPP4', 'AHR', 'HDAC2', 'NR1I3']",Humans,Humans,1,interaction,1,0.9999512916842885,1,TP
DB01048,DB01117,Abacavir,Atovaquone,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,"['pol', 'HLA-B']","['MT-CYB', 'DHODH']",Humans,Humans,1,interaction,1,0.9998667913030664,1,TP
DB01048,DB00572,Abacavir,Atropine,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,"['pol', 'HLA-B']","['CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5', 'GLRA1', 'CHRNA4', 'CHRNB2']",Humans,Humans,1,interaction,1,0.9996320776000522,1,TP
DB01048,DB00207,Abacavir,Azithromycin,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,"['pol', 'HLA-B']",['PADI4'],Humans,Humans,1,interaction,1,0.9999040904456155,1,TP
DB01048,DB08903,Abacavir,Bedaquiline,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,COC1=NC2=C(C=C(Br)C=C2)C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=CC2=C1C=CC=C2,"['pol', 'HLA-B']",['atpE'],Humans,Mycobacterium tuberculosis,1,interaction,1,0.9988017979180452,1,TP
