drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB00862,DB01319,Vardenafil,Fosamprenavir,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1,CC(C)CN(C[C@@H](OP(O)(O)=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,"['PDE5A', 'PDE6G', 'PDE6H']",['pol'],Humans,Human immunodeficiency virus 1,1,interaction,1,0.9998834704001013,1,TP
DB00820,DB01319,Tadalafil,Fosamprenavir,[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1,CC(C)CN(C[C@@H](OP(O)(O)=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,"['PDE5A', 'PDE11A', 'PDE6G']",['pol'],Humans,Human immunodeficiency virus 1,1,interaction,1,0.9959003416381191,1,TP
DB00655,DB00564,Estrone,Carbamazepine,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,"['ESR1', 'ESR2', 'AR', 'CYP19A1', 'SHBG']","['SCN1A', 'SCN10A', 'SCN11A', 'SCN2A', 'SCN3A', 'SCN4A', 'SCN5A', 'SCN7A', 'SCN8A', 'SCN9A', 'CHRNA4', 'NR1I2']",Humans,Humans,1,interaction,1,0.9997335739277311,1,TP
DB01125,DB00945,Anisindione,Acetylsalicylic acid,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,CC(=O)OC1=CC=CC=C1C(O)=O,['GGCX'],"['PTGS1', 'PTGS2', 'AKR1C1', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PRKAG2', 'PRKAG3', 'EDNRA', 'TP53', 'HSPA5', 'RPS6KA3', 'NFKBIA', 'TNFAIP6', 'CASP1', 'CASP3', 'IKBKB', 'MAPK1', 'MAPK15', 'MAPK3', 'MAPK4', 'MAPK6', 'MAPK7', 'CCND1', 'MYC', 'PCNA', 'NEU1']",Humans,Humans,1,interaction,1,0.9990474250178761,1,TP
DB00749,DB01125,Etodolac,Anisindione,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,"['PTGS2', 'PTGS1', 'RXRA']",['GGCX'],Humans,Humans,1,interaction,1,0.9999241149394169,1,TP
DB00943,DB00448,Zalcitabine,Lansoprazole,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,['pol'],"['ATP4A', 'MAPT']",Human immunodeficiency virus 1,Humans,1,interaction,1,0.9998938399653753,1,TP
DB08860,DB01601,Pitavastatin,Lopinavir,O[C@H](C[C@H](O)\C=C\C1=C(N=C2C=CC=CC2=C1C1=CC=C(F)C=C1)C1CC1)CC(O)=O,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1,"['HMGCR', 'ITGAL']",['pol'],Humans,Human immunodeficiency virus 1,1,interaction,1,0.9959080290225257,1,TP
DB00794,DB01125,Primidone,Anisindione,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,"['GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ', 'GABRA1', 'CHRNA4', 'CHRNA7', 'GRIA2', 'GRIK2']",['GGCX'],Humans,Humans,1,interaction,1,0.9996831764491844,1,TP
DB01006,DB04574,Letrozole,Estrone sulfate,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OS(O)(=O)=O)C=C3,['CYP19A1'],"['ESR1', 'ESR2']",Humans,Humans,1,interaction,1,0.9999765619466755,1,TP
DB00252,DB01125,Phenytoin,Anisindione,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,"['SCN5A', 'SCN1A', 'KCNH2', 'CACNA1C', 'CACNA1D', 'CACNA1F', 'CACNA1S', 'CACNB1', 'CACNB2', 'CACNB3', 'CACNB4', 'CACNA1A', 'SCN2A', 'SCN8A', 'NR1I2', 'SCN1B', 'SCN3A', 'GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']",['GGCX'],Humans,Humans,1,interaction,1,0.9998727507068782,1,TP
DB00615,DB00687,Rifabutin,Fludrocortisone,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"['rpoA', 'rpoB', 'rpoC', 'HSP90AA1', 'HSP90B1']","['NR3C2', 'NR3C1']",Humans,Humans,1,interaction,1,0.9994477158650583,1,TP
DB00479,DB01199,Amikacin,Tubocurarine,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CCN1C)C2=C6)=C(O)C=C5)=CC(OC)=C4O)C=C3,['rpsL'],"['CHRNA2', 'HTR3A', 'ACHE', 'CHRNA7']",Escherichia coli (strain K12),Humans,1,interaction,1,0.9997335739277311,1,TP
DB00849,DB01125,Methylphenobarbital,Anisindione,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,"['GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRA1', 'CHRNA4', 'CHRNA7', 'GRIA2', 'GRIK2', 'NR1I2']",['GGCX'],Humans,Humans,1,interaction,1,0.9998143573937215,1,TP
DB01157,DB00199,Trimetrexate,Erythromycin,COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,['DHFR'],"['MLNR', 'KCNH2']",Humans,Humans,1,interaction,1,0.9997873035530972,1,TP
DB00467,DB00501,Enoxacin,Cimetidine,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,"['gyrA', 'parC', 'TOP2A']",['HRH2'],Humans,Humans,1,interaction,1,0.9999284059529762,1,TP
DB01045,DB01125,Rifampicin,Anisindione,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,"['rpoB', 'NR1I2']",['GGCX'],Humans,Humans,1,interaction,1,0.9998746577259993,1,TP
DB04575,DB01174,Quinestrol,Phenobarbital,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC1CCCC1)C=C3,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,['ESR1'],"['GABRA1', 'CHRNA4', 'CHRNA7', 'GRIA2', 'GRIK2', 'GRIN1', 'GRIN2A', 'GRIN2B', 'GRIN2C', 'GRIN2D', 'GRIN3A', 'GRIN3B', 'NR1I2']",Humans,Humans,1,interaction,1,0.9999876476902904,1,TP
DB00861,DB01125,Diflunisal,Anisindione,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,"['PTGS2', 'PTGS1']",['GGCX'],Humans,Humans,1,interaction,1,0.9999604699583327,1,TP
DB00897,DB00615,Triazolam,Rifabutin,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21,"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ', 'GABRA1', 'GABRA2', 'GABRA3', 'GABRA5', 'GABRG1', 'GABRG2', 'GABRG3']","['rpoA', 'rpoB', 'rpoC', 'HSP90AA1', 'HSP90B1']",Humans,Humans,1,interaction,1,0.9999353192918872,1,TP
