drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB01665,DB03973,2H-Benzimidazol-2-amine,"3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate",NC1N=C2C=CC=CC2=N1,[H]N1C2=C(N(CCCOP(O)(O)=O)C(=O)N2C[C@@H](O)[C@@H](O)[C@H](O)CO)C(=O)N([H])C1=O,['PRSS1'],['ribH'],Humans,Mycobacterium tuberculosis,0,no interaction,0,0.9999999031936797,1,TN
DB02555,DB00824,SP4160,Enprofylline,CC(C)C[C@@H](N=C(N)N)C(=O)NCC(=O)N1CCC(CC1)C1=CC(=NN1C)C1=C(Cl)C(Cl)=C(OCC2=CC=C(NC(C)=O)C=C2)C=C1,CCCN1C2=C(NC=N2)C(=O)NC1=O,['IL2'],"['PDE4B', 'ADORA2B', 'PDE4A', 'ADORA1', 'ADORA2A', 'ADORA3']",Humans,Humans,0,no interaction,0,0.9998967078921471,1,TN
DB02994,DB00565,Cacodylic acid,Cisatracurium,C[As](C)(O)=O,COC1=CC2=C(C=C1OC)[C@@H](CC1=CC(OC)=C(OC)C=C1)[N@@+](C)(CCC(=O)OCCCCCOC(=O)CC[N@@+]1(C)CCC3=C(C=C(OC)C(OC)=C3)[C@H]1CC1=CC(OC)=C(OC)C=C1)CC2,"['gag-pol', 'NOS3', 'AKR1B1', 'GNAT1']","['CHRNA10', 'CHRNA2', 'CHRNA3', 'CHRNA4', 'CHRNA5', 'CHRNA6', 'CHRNA7', 'CHRNA9', 'CHRNB2', 'CHRNB3', 'CHRNB4', 'CHRNA1', 'CHRM2']",Humans,Humans,0,interaction,1,0.9398271251935998,0,FP
DB00883,DB07391,Isosorbide dinitrate,"(2S)-2-AMINO-1-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)PROPAN-1-ONE",[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,[H][C@@](C)(N)C(=O)C1=NN=C(O1)C(C)(C)C,['NPR1'],['pip'],Humans,Serratia marcescens,0,no interaction,0,0.9999938462231845,1,TN
DB00573,DB04591,Fenoprofen,"N-{2,2-DIFLUORO-2-[(2R)-PIPERIDIN-2-YL]ETHYL}-2-[2-(1H-1,2,4-TRIAZOL-1-YL)BENZYL][1,3]OXAZOLO[4,5-C]PYRIDIN-4-AMINE",CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,[H][C@@]1(CCCCN1)C(F)(F)CNC1=NC=CC2=C1N=C(CC1=CC=CC=C1N1C=NC=N1)O2,"['PTGS2', 'PPARA', 'PPARG', 'PTGS1']",['F2'],Humans,Humans,0,no interaction,0,0.9998977210126873,1,TN
DB04494,DB13055,Dihydroxy(oxo)molybdenum(6+),Oteseconazole,O[Mo+6](O)=O,O[C@@](CN1C=NN=N1)(C1=CC=C(F)C=C1F)C(F)(F)C1=CC=C(C=N1)C1=CC=C(OCC(F)(F)F)C=C1,['citA'],['ERG11'],Klebsiella pneumoniae,Yeast,0,no interaction,0,0.9999992699711014,1,TN
DB00945,DB00758,Acetylsalicylic acid,Clopidogrel,CC(=O)OC1=CC=CC=C1C(O)=O,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,"['PTGS1', 'PTGS2', 'AKR1C1', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PRKAG2', 'PRKAG3', 'EDNRA', 'TP53', 'HSPA5', 'RPS6KA3', 'NFKBIA', 'TNFAIP6', 'CASP1', 'CASP3', 'IKBKB', 'MAPK1', 'MAPK15', 'MAPK3', 'MAPK4', 'MAPK6', 'MAPK7', 'CCND1', 'MYC', 'PCNA', 'NEU1']",['P2RY12'],Humans,Humans,1,interaction,1,0.9982202560259247,1,TP
DB00390,DB00214,Digoxin,Torasemide,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,['ATP1A1'],"['SLC12A2', 'SLC12A1']",Humans,Humans,1,interaction,1,0.9999895549275502,1,TP
DB00687,DB00211,Fludrocortisone,Midodrine,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,"['NR3C2', 'NR3C1']","['ADRA1A', 'ADRA1B', 'ADRA1D']",Humans,Humans,1,interaction,1,0.9999024217570665,1,TP
DB01029,DB00999,Irbesartan,Hydrochlorothiazide,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,"['AGTR1', 'JUN']","['SLC12A3', 'KCNMA1']",Humans,Humans,1,interaction,1,0.9998959854098927,1,TP
DB01592,DB00551,Iron,Acetohydroxamic acid,[Fe],CC(=O)NO,"['TFRC', 'EGLN1', 'HDAC8', 'AHSP', 'HBA1', 'FXN', 'FTH1', 'FEN1', 'NEIL1', 'NEIL2', 'POLB', 'CP', 'TF']","['ureC', 'MMP12']",Humans,Humans,1,interaction,1,0.9999876476902904,1,TP
DB00451,DB00775,Levothyroxine,Tirofiban,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,"['ITGAV', 'ITGB3', 'THRA', 'THRB']","['ITGA2B', 'ITGB3']",Humans,Humans,1,interaction,1,0.9998854966360107,1,TP
DB00678,DB00999,Losartan,Hydrochlorothiazide,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,['AGTR1'],"['SLC12A3', 'KCNMA1']",Humans,Humans,1,interaction,1,0.9999926541946805,1,TP
DB00211,DB00687,Midodrine,Fludrocortisone,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"['ADRA1A', 'ADRA1B', 'ADRA1D']","['NR3C2', 'NR3C1']",Humans,Humans,1,interaction,1,0.9999156521574794,1,TP
