drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB01607,DB00335,Ticarcillin,Atenolol,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](C(O)=O)C1=CSC=C1)C(O)=O,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,['mecA'],"['ADRB1', 'ADRB2']",Staphylococcus aureus,Humans,1,interaction,1,0.9976898151938365,1,TP
DB01602,DB00571,Bacampicillin,Propranolol,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OC(C)OC(=O)OCC,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,"['dacA', 'dacB', 'dacC', 'mrcA', 'mrcB', 'mrdA', 'ftsI']","['ADRB1', 'ADRB2', 'ADRB3', 'HTR1A', 'HTR1B']",Gram positive and gram negative bacteria,Humans,1,interaction,1,0.9999654763299556,1,TP
DB02443,DB00571,Methicillin Acyl-Serine,Propranolol,[H][C@](N)(COC(=O)[C@@]([H])(N=C([O-])C1=C(OC)C=CC=C1OC)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1)C([O-])=O,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,['pbp'],"['ADRB1', 'ADRB2', 'ADRB3', 'HTR1A', 'HTR1B']",Staphylococcus aureus,Humans,1,no interaction,0,0.9041918518472812,0,FN
DB02266,DB00195,Flufenamic acid,Betaxolol,OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,"['PTGS2', 'PTGS1', 'AKR1C3', 'AR', 'PPARA', 'PPARG']","['ADRB1', 'ADRB2']",Humans,Humans,1,interaction,1,0.9988835081413465,1,TP
DB00898,DB01345,Ethanol,Potassium cation,CCO,[K+],"['GABRA1', 'GRIN3A', 'GLRA1', 'GLRA2', 'CACNB1', 'HTR3A', 'GABRA2', 'CHRNA10', 'CACNA1C', 'GABRA5', 'GABRA4', 'GABRA3', 'GRIA1', 'CACNG1', 'CHRNA2', 'GABRA6', 'GRIA2', 'GRIA4', 'GRIA3', 'CHRNA4', 'CHRNB2', 'KCNJ3', 'KCNJ6', 'VCAM1', 'SLC29A1', 'KCNJ5', 'CHRNA7', 'CHRNA9', 'GABRB1', 'GABRB3', 'GABRB2', 'CACNA1S', 'CACNA1D', 'CHRNB4', 'CHRNA3', 'CHRNA5', 'CHRNA6', 'CHRNB3', 'GABRG1', 'GABRG3', 'GABRE', 'GABRP', 'GABRQ', 'GABRD', 'SLC29A2', 'HTR3E', 'HTR3B', 'HTR3D', 'HTR3C', 'CACNG2', 'KCNJ9', 'L1CAM', 'ACHE', 'ADH7']",['ATP1A1'],Humans,Humans,1,interaction,1,0.999370204144717,1,TP
DB01359,DB00509,Penbutolol,Dextrothyroxine,CC(C)(C)NC[C@H](O)COC1=CC=CC=C1C1CCCC1,N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,"['ADRB1', 'ADRB2', 'HTR1A', 'HTR1B']","['THRA', 'THRB', 'TPO']",Humans,Humans,1,interaction,1,0.9995022568552394,1,TP
DB01192,DB00304,Oxymorphone,Desogestrel,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],"['OPRM1', 'OPRD1']","['PGR', 'ESR1']",Humans,Humans,1,interaction,1,0.999965953125608,1,TP
DB00415,DB08808,Ampicillin,Bupranolol,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1,"['pbp2a', 'pbp1b', 'pbp3', 'pbpA', 'penA', 'SLC15A1', 'SLC15A2', 'TEK']","['ADRB1', 'ADRB2', 'ADRB3']",Humans,Humans,1,interaction,1,0.9996967577872169,1,TP
DB02266,DB08808,Flufenamic acid,Bupranolol,OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F,CC1=CC(OCC(O)CNC(C)(C)C)=C(Cl)C=C1,"['PTGS2', 'PTGS1', 'AKR1C3', 'AR', 'PPARA', 'PPARG']","['ADRB1', 'ADRB2', 'ADRB3']",Humans,Humans,1,interaction,1,0.9996179013682829,1,TP
DB00201,DB01399,Caffeine,Salsalate,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)C1=CC=CC=C1OC(=O)C1=CC=CC=C1O,"['ADORA1', 'ADORA2A', 'ADORA2B', 'ADORA3', 'PDE1B', 'PDE4D', 'PDE3B', 'PDE5A', 'PDE4B', 'RYR1', 'PDE1A', 'PDE1B', 'PDE1C', 'PDE10A', 'PDE4A', 'PDE4B', 'PDE4C', 'PDE4D', 'PDE7B', 'PDE2A', 'PDE3A', 'PDE3B', 'PDE5A', 'PDE6C', 'PDE11A', 'PDE7A', 'PDE8A', 'PDE8B', 'PDE9A', 'PDE6A', 'PDE6B', 'PRKDC', 'PIK3CD', 'PIK3CA', 'PIK3CB', 'ITPR1', 'ITPR2', 'ITPR3', 'ATM']","['PTGS2', 'PTGS1']",Humans,Humans,1,interaction,1,0.9397994335953244,1,TP
