drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB00999,DB00722,Hydrochlorothiazide,Lisinopril,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,"['SLC12A3', 'KCNMA1']","['ACE', 'REN']",Humans,Humans,1,interaction,1,0.9999608275572601,1,TP
DB01225,DB01095,Enoxaparin,Fluvastatin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1,"['SERPINC1', 'F10', 'F2']","['HMGCR', 'HDAC2']",Humans,Humans,1,interaction,1,0.9999248301053981,1,TP
DB00584,DB06709,Enalapril,Methacholine,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,CC(C[N+](C)(C)C)OC(C)=O,['ACE'],"['CHRM3', 'CHRM2', 'CHRM1', 'CHRM4', 'CHRM5']",Humans,Humans,1,interaction,1,0.9999187512008625,1,TP
DB00338,DB00257,Omeprazole,Clotrimazole,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,"['ATP4A', 'AHR']","['ERG11', 'KCNN4', 'NR1I2', 'HCAR2']",Humans,Humans,1,interaction,1,0.999957132395842,1,TP
DB00261,DB01095,Anagrelide,Fluvastatin,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1,['PDE3A'],"['HMGCR', 'HDAC2']",Humans,Humans,1,interaction,1,0.9990505213403873,1,TP
DB00006,DB00448,Bivalirudin,Lansoprazole,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,['F2'],"['ATP4A', 'MAPT']",Humans,Humans,1,interaction,1,0.9990678940808556,1,TP
DB01067,DB00881,Glipizide,Quinapril,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O,"['ABCC8', 'PPARG']",['ACE'],Humans,Humans,1,interaction,1,0.9999711979237877,1,TP
DB00264,DB01023,Metoprolol,Felodipine,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,"['ADRB1', 'ADRB2', 'ADRB1', 'ADRB2', 'ADRB3']","['CACNA1C', 'CACNA2D1', 'CACNB2', 'CACNA1D', 'CACNA1S', 'CACNA1H', 'CACNA2D2', 'CALM1', 'PDE1B', 'PDE1A', 'NR3C2', 'TNNC2', 'TNNC1']",Humans,Humans,1,interaction,1,0.9999664299234876,1,TP
DB00975,DB00180,Dipyridamole,Flunisolide,OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,"['PDE10A', 'PDE5A', 'PDE4A', 'ADA', 'RCAN1', 'ORM1']",['NR3C1'],Humans,Humans,1,interaction,1,0.9994901078392137,1,TP
DB06605,DB00180,Apixaban,Flunisolide,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,['F10'],['NR3C1'],Humans,Humans,1,interaction,1,0.9999208966888319,1,TP
