drug1,drug2,drug_name1,drug_name2,smiles1,smiles2,genes1,genes2,org1,org2,target,label,new_target,confidence,correct,category
DB00477,DB00920,Chlorpromazine,Ketotifen,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12,"['DRD2', 'DRD1', 'HTR1A', 'HTR2A', 'ADRA1A', 'ADRA1B', 'HRH1', 'KCNH2', 'DRD1', 'DRD5', 'DRD3', 'DRD4', 'DRD5', 'HTR2C', 'HTR2A', 'HTR2B', 'HTR2C', 'ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'CHRM1', 'CHRM3', 'SMPD1', 'CALM1', 'ORM1', 'ORM2', 'HTR6', 'HTR7', 'HRH4']","['HRH1', 'PGD']",Humans,Humans,1,interaction,1,0.9999008722634788,1,TP
DB00715,DB00825,Paroxetine,Levomenthol,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,"['SLC6A4', 'SLC6A2', 'HTR2A', 'ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'ADRB1', 'ADRB2', 'ADRB3', 'DRD2', 'HRH1', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR1E', 'HTR1F', 'HTR2A', 'HTR2B', 'HTR2C', 'HTR3A', 'HTR3B', 'HTR3C', 'HTR3D', 'HTR3E', 'HTR4', 'HTR6', 'HTR7', 'CHRM1', 'CHRM2', 'CHRM3', 'CHRM4', 'CHRM5', 'HTR2B', 'DRD1', 'DRD5']","['TRPM8', 'TRPA1', 'TRPV3', 'CACNA1C', 'CACNA1D', 'CACNA1F', 'CACNA1S', 'CACNB1', 'CACNB2', 'CACNB3', 'CACNB4', 'CACNA1A', 'OPRK1']",Humans,Humans,1,no interaction,0,0.9973785208851096,0,FN
DB01621,DB00545,Pipotiazine,Pyridostigmine,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1,CN(C)C(=O)OC1=C[N+](C)=CC=C1,"['DRD2', 'DRD1', 'HTR2A', 'HTR1A']","['BCHE', 'ACHE']",Humans,Humans,1,interaction,1,0.9968010348274089,1,TP
DB00487,DB01621,Pefloxacin,Pipotiazine,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1,"['parC', 'gyrA', 'TOP2A', 'topA']","['DRD2', 'DRD1', 'HTR2A', 'HTR1A']",Staphylococcus aureus,Humans,1,interaction,1,0.9998781068795701,1,TP
DB00825,DB00825,Levomenthol,Levomenthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,"['TRPM8', 'TRPA1', 'TRPV3', 'CACNA1C', 'CACNA1D', 'CACNA1F', 'CACNA1S', 'CACNB1', 'CACNB2', 'CACNB3', 'CACNB4', 'CACNA1A', 'OPRK1']","['TRPM8', 'TRPA1', 'TRPV3', 'CACNA1C', 'CACNA1D', 'CACNA1F', 'CACNA1S', 'CACNB1', 'CACNB2', 'CACNB3', 'CACNB4', 'CACNA1A', 'OPRK1']",Humans,Humans,1,no interaction,0,0.999435432716292,0,FN
DB00623,DB00920,Fluphenazine,Ketotifen,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12,"['DRD2', 'DRD1', 'CALM1', 'AR', 'HTR2A', 'HTR2C']","['HRH1', 'PGD']",Humans,Humans,1,interaction,1,0.9967270039676054,1,TP
DB00502,DB00502,Haloperidol,Haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,"['HTR2C', 'DRD2', 'HTR2A', 'DRD3', 'MCHR1', 'SLC18A2', 'SIGMAR1', 'HRH1', 'CHRM3', 'ADRA1A', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'HTR1A', 'HTR6', 'HTR7', 'GRIN2B', 'DRD1']","['HTR2C', 'DRD2', 'HTR2A', 'DRD3', 'MCHR1', 'SLC18A2', 'SIGMAR1', 'HRH1', 'CHRM3', 'ADRA1A', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'HTR1A', 'HTR6', 'HTR7', 'GRIN2B', 'DRD1']",Humans,Humans,1,interaction,1,0.622272860475171,1,TP
DB00585,DB08901,Nizatidine,Ponatinib,CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,['HRH2'],"['ABL1', 'BCR', 'KIT', 'RET', 'TEK', 'FLT3', 'FGFR1', 'FGFR2', 'FGFR3', 'FGFR4', 'LCK', 'SRC', 'LYN', 'KDR', 'PDGFRA']",Humans,Humans,1,interaction,1,0.9995989627169574,1,TP
DB00477,DB00477,Chlorpromazine,Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,"['DRD2', 'DRD1', 'HTR1A', 'HTR2A', 'ADRA1A', 'ADRA1B', 'HRH1', 'KCNH2', 'DRD1', 'DRD5', 'DRD3', 'DRD4', 'DRD5', 'HTR2C', 'HTR2A', 'HTR2B', 'HTR2C', 'ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'CHRM1', 'CHRM3', 'SMPD1', 'CALM1', 'ORM1', 'ORM2', 'HTR6', 'HTR7', 'HRH4']","['DRD2', 'DRD1', 'HTR1A', 'HTR2A', 'ADRA1A', 'ADRA1B', 'HRH1', 'KCNH2', 'DRD1', 'DRD5', 'DRD3', 'DRD4', 'DRD5', 'HTR2C', 'HTR2A', 'HTR2B', 'HTR2C', 'ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'CHRM1', 'CHRM3', 'SMPD1', 'CALM1', 'ORM1', 'ORM2', 'HTR6', 'HTR7', 'HRH4']",Humans,Humans,1,interaction,1,0.046945749965116926,1,TP
DB00989,DB01122,Rivastigmine,Ambenonium,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,"['ACHE', 'BCHE']",['ACHE'],Humans,Humans,1,interaction,1,0.9984903281028211,1,TP
